,block,value,game,participant,condition,experiment,dyad,mapping,group
134,1,8.0,1,c01_p1,control,4.0,c01,s,game 1 control
135,1,8.0,1,c02_p1,control,4.0,c02,d,game 1 control
136,1,24.0,1,c03_p1,control,4.0,c03,d,game 1 control
137,1,11.0,1,c05_p1,control,4.0,c05,d,game 1 control
138,1,17.0,1,c06_p1,control,4.0,c06,d,game 1 control
139,1,11.0,1,c07_p1,control,4.0,c07,d,game 1 control
140,1,8.0,1,c09_p1,control,4.0,c09,d,game 1 control
141,1,17.0,1,c10_p1,control,4.0,c10,d,game 1 control
142,1,10.0,1,c11_p1,control,4.0,c11,d,game 1 control
143,1,6.0,1,c12_p1,control,4.0,c12,s,game 1 control
144,1,9.0,1,c13_p1,control,4.0,c13,s,game 1 control
145,1,12.0,1,c14_p1,control,4.0,c14,s,game 1 control
146,1,9.0,1,c15_p1,control,4.0,c15,s,game 1 control
147,1,9.0,1,c16_p1,control,4.0,c16,s,game 1 control
148,1,26.0,1,c17_p1,control,4.0,c17,s,game 1 control
149,1,23.0,1,c18_p1,control,4.0,c18,s,game 1 control
150,1,6.0,1,s01_p1,control,3.0,s01,d,game 1 control
151,1,10.0,1,s03_p1,control,3.0,s03,d,game 1 control
152,1,30.0,1,s05_p1,control,3.0,s05,d,game 1 control
153,1,29.0,1,s06_p1,control,3.0,s06,d,game 1 control
154,1,9.0,1,s07_p1,control,3.0,s07,d,game 1 control
155,1,30.0,1,s08_p1,control,3.0,s08,d,game 1 control
156,1,12.0,1,s09_p1,control,3.0,s09,d,game 1 control
157,1,11.0,1,s11_p1,control,3.0,s11,s,game 1 control
158,1,12.0,1,s12_p1,control,3.0,s12,s,game 1 control
159,1,27.0,1,s14_p1,control,3.0,s14,s,game 1 control
160,1,20.0,1,s15_p1,control,3.0,s15,s,game 1 control
161,1,10.0,1,s16_p1,control,3.0,s16,s,game 1 control
162,1,28.0,1,s17_p1,control,3.0,s17,s,game 1 control
163,1,9.0,1,s19_p1,control,3.0,s19,s,game 1 control
164,1,9.0,1,s20_p1,control,3.0,s20,s,game 1 control
165,1,12.0,2,c01_p1,control,4.0,c01,s,game 2 control
166,1,26.0,2,c02_p1,control,4.0,c02,d,game 2 control
167,1,28.0,2,c03_p1,control,4.0,c03,d,game 2 control
168,1,10.0,2,c05_p1,control,4.0,c05,d,game 2 control
169,1,9.0,2,c06_p1,control,4.0,c06,d,game 2 control
170,1,18.0,2,c07_p1,control,4.0,c07,d,game 2 control
171,1,7.0,2,c09_p1,control,4.0,c09,d,game 2 control
172,1,15.0,2,c10_p1,control,4.0,c10,d,game 2 control
173,1,18.0,2,c11_p1,control,4.0,c11,d,game 2 control
174,1,6.0,2,c12_p1,control,4.0,c12,s,game 2 control
175,1,15.0,2,c13_p1,control,4.0,c13,s,game 2 control
176,1,17.0,2,c14_p1,control,4.0,c14,s,game 2 control
177,1,28.0,2,c15_p1,control,4.0,c15,s,game 2 control
178,1,15.0,2,c16_p1,control,4.0,c16,s,game 2 control
179,1,28.0,2,c17_p1,control,4.0,c17,s,game 2 control
180,1,23.0,2,c18_p1,control,4.0,c18,s,game 2 control
181,1,13.0,2,s01_p1,control,3.0,s01,d,game 2 control
182,1,13.0,2,s03_p1,control,3.0,s03,d,game 2 control
183,1,28.0,2,s05_p1,control,3.0,s05,d,game 2 control
184,1,26.0,2,s06_p1,control,3.0,s06,d,game 2 control
185,1,9.0,2,s07_p1,control,3.0,s07,d,game 2 control
186,1,27.0,2,s08_p1,control,3.0,s08,d,game 2 control
187,1,16.0,2,s09_p1,control,3.0,s09,d,game 2 control
188,1,8.0,2,s11_p1,control,3.0,s11,s,game 2 control
189,1,23.0,2,s12_p1,control,3.0,s12,s,game 2 control
190,1,28.0,2,s14_p1,control,3.0,s14,s,game 2 control
191,1,27.0,2,s15_p1,control,3.0,s15,s,game 2 control
192,1,6.0,2,s16_p1,control,3.0,s16,s,game 2 control
193,1,23.0,2,s17_p1,control,3.0,s17,s,game 2 control
194,1,26.0,2,s19_p1,control,3.0,s19,s,game 2 control
195,1,9.0,2,s20_p1,control,3.0,s20,s,game 2 control
196,1,9.0,1,j01_p1,social,3.0,j01,d,game 1 social
197,1,8.0,1,j01_p2,social,3.0,j01,d,game 1 social
198,1,6.0,1,j02_p1,social,3.0,j02,d,game 1 social
199,1,12.0,1,j02_p2,social,3.0,j02,d,game 1 social
200,1,12.0,1,j03_p1,social,3.0,j03,d,game 1 social
201,1,9.0,1,j03_p2,social,3.0,j03,d,game 1 social
202,1,9.0,1,j04_p1,social,3.0,j04,d,game 1 social
203,1,15.0,1,j04_p2,social,3.0,j04,d,game 1 social
204,1,23.0,1,j05_p1,social,3.0,j05,d,game 1 social
205,1,16.0,1,j05_p2,social,3.0,j05,d,game 1 social
206,1,7.0,1,j06_p1,social,3.0,j06,d,game 1 social
207,1,10.0,1,j06_p2,social,3.0,j06,d,game 1 social
208,1,15.0,1,j07_p1,social,3.0,j07,d,game 1 social
209,1,23.0,1,j07_p2,social,3.0,j07,d,game 1 social
210,1,11.0,1,j08_p1,social,3.0,j08,d,game 1 social
211,1,14.0,1,j08_p2,social,3.0,j08,d,game 1 social
212,1,12.0,1,j10_p1,social,3.0,j10,s,game 1 social
213,1,13.0,1,j10_p2,social,3.0,j10,s,game 1 social
214,1,18.0,1,j11_p1,social,3.0,j11,s,game 1 social
215,1,25.0,1,j11_p2,social,3.0,j11,s,game 1 social
216,1,9.0,1,m01_p1,social,4.0,m01,d,game 1 social
217,1,11.0,1,m01_p2,social,4.0,m01,d,game 1 social
218,1,11.0,1,m03_p1,social,4.0,m03,d,game 1 social
219,1,12.0,1,m03_p2,social,4.0,m03,d,game 1 social
220,1,20.0,1,m05_p1,social,4.0,m05,d,game 1 social
221,1,19.0,1,m05_p2,social,4.0,m05,d,game 1 social
222,1,15.0,1,m08_p1,social,4.0,m08,s,game 1 social
223,1,13.0,1,m08_p2,social,4.0,m08,s,game 1 social
224,1,12.0,1,m10_p1,social,4.0,m10,s,game 1 social
225,1,6.0,1,m10_p2,social,4.0,m10,s,game 1 social
226,1,15.0,1,m11_p1,social,4.0,m11,s,game 1 social
227,1,25.0,1,m11_p2,social,4.0,m11,s,game 1 social
228,1,8.0,1,m13_p1,social,4.0,m13,s,game 1 social
229,1,9.0,1,m13_p2,social,4.0,m13,s,game 1 social
230,1,15.0,1,m14_p1,social,4.0,m14,s,game 1 social
231,1,10.0,1,m14_p2,social,4.0,m14,s,game 1 social
232,1,18.0,2,j01_p1,social,3.0,j01,d,game 2 social
233,1,14.0,2,j01_p2,social,3.0,j01,d,game 2 social
234,1,13.0,2,j02_p1,social,3.0,j02,d,game 2 social
235,1,10.0,2,j02_p2,social,3.0,j02,d,game 2 social
236,1,20.0,2,j03_p1,social,3.0,j03,d,game 2 social
237,1,25.0,2,j03_p2,social,3.0,j03,d,game 2 social
238,1,10.0,2,j04_p1,social,3.0,j04,d,game 2 social
239,1,7.0,2,j04_p2,social,3.0,j04,d,game 2 social
240,1,14.0,2,j05_p1,social,3.0,j05,d,game 2 social
241,1,15.0,2,j05_p2,social,3.0,j05,d,game 2 social
242,1,18.0,2,j06_p1,social,3.0,j06,d,game 2 social
243,1,17.0,2,j06_p2,social,3.0,j06,d,game 2 social
244,1,27.0,2,j07_p1,social,3.0,j07,d,game 2 social
245,1,14.0,2,j07_p2,social,3.0,j07,d,game 2 social
246,1,19.0,2,j08_p1,social,3.0,j08,d,game 2 social
247,1,9.0,2,j08_p2,social,3.0,j08,d,game 2 social
248,1,11.0,2,j10_p1,social,3.0,j10,s,game 2 social
249,1,16.0,2,j10_p2,social,3.0,j10,s,game 2 social
250,1,22.0,2,j11_p1,social,3.0,j11,s,game 2 social
251,1,29.0,2,j11_p2,social,3.0,j11,s,game 2 social
252,1,19.0,2,m01_p1,social,4.0,m01,d,game 2 social
253,1,19.0,2,m01_p2,social,4.0,m01,d,game 2 social
254,1,6.0,2,m03_p1,social,4.0,m03,d,game 2 social
255,1,10.0,2,m03_p2,social,4.0,m03,d,game 2 social
256,1,4.0,2,m05_p1,social,4.0,m05,d,game 2 social
257,1,29.0,2,m05_p2,social,4.0,m05,d,game 2 social
258,1,24.0,2,m08_p1,social,4.0,m08,s,game 2 social
259,1,30.0,2,m08_p2,social,4.0,m08,s,game 2 social
260,1,10.0,2,m10_p1,social,4.0,m10,s,game 2 social
261,1,6.0,2,m10_p2,social,4.0,m10,s,game 2 social
262,1,30.0,2,m11_p1,social,4.0,m11,s,game 2 social
263,1,30.0,2,m11_p2,social,4.0,m11,s,game 2 social
264,1,13.0,2,m13_p1,social,4.0,m13,s,game 2 social
265,1,10.0,2,m13_p2,social,4.0,m13,s,game 2 social
266,1,4.0,2,m14_p1,social,4.0,m14,s,game 2 social
267,1,8.0,2,m14_p2,social,4.0,m14,s,game 2 social
268,2,13.0,1,c01_p1,control,4.0,c01,s,game 1 control
269,2,23.0,1,c02_p1,control,4.0,c02,d,game 1 control
270,2,27.0,1,c03_p1,control,4.0,c03,d,game 1 control
271,2,10.0,1,c05_p1,control,4.0,c05,d,game 1 control
272,2,14.0,1,c06_p1,control,4.0,c06,d,game 1 control
273,2,26.0,1,c07_p1,control,4.0,c07,d,game 1 control
274,2,8.0,1,c09_p1,control,4.0,c09,d,game 1 control
275,2,28.0,1,c10_p1,control,4.0,c10,d,game 1 control
276,2,15.0,1,c11_p1,control,4.0,c11,d,game 1 control
277,2,5.0,1,c12_p1,control,4.0,c12,s,game 1 control
278,2,12.0,1,c13_p1,control,4.0,c13,s,game 1 control
279,2,21.0,1,c14_p1,control,4.0,c14,s,game 1 control
280,2,6.0,1,c15_p1,control,4.0,c15,s,game 1 control
281,2,15.0,1,c16_p1,control,4.0,c16,s,game 1 control
282,2,25.0,1,c17_p1,control,4.0,c17,s,game 1 control
283,2,21.0,1,c18_p1,control,4.0,c18,s,game 1 control
284,2,9.0,1,s01_p1,control,3.0,s01,d,game 1 control
285,2,11.0,1,s03_p1,control,3.0,s03,d,game 1 control
286,2,5.0,1,s05_p1,control,3.0,s05,d,game 1 control
287,2,28.0,1,s06_p1,control,3.0,s06,d,game 1 control
288,2,14.0,1,s07_p1,control,3.0,s07,d,game 1 control
289,2,28.0,1,s08_p1,control,3.0,s08,d,game 1 control
290,2,19.0,1,s09_p1,control,3.0,s09,d,game 1 control
291,2,9.0,1,s11_p1,control,3.0,s11,s,game 1 control
292,2,20.0,1,s12_p1,control,3.0,s12,s,game 1 control
293,2,30.0,1,s14_p1,control,3.0,s14,s,game 1 control
294,2,21.0,1,s15_p1,control,3.0,s15,s,game 1 control
295,2,13.0,1,s16_p1,control,3.0,s16,s,game 1 control
296,2,30.0,1,s17_p1,control,3.0,s17,s,game 1 control
297,2,25.0,1,s19_p1,control,3.0,s19,s,game 1 control
298,2,9.0,1,s20_p1,control,3.0,s20,s,game 1 control
299,2,17.0,2,c01_p1,control,4.0,c01,s,game 2 control
300,2,24.0,2,c02_p1,control,4.0,c02,d,game 2 control
301,2,27.0,2,c03_p1,control,4.0,c03,d,game 2 control
302,2,12.0,2,c05_p1,control,4.0,c05,d,game 2 control
303,2,9.0,2,c06_p1,control,4.0,c06,d,game 2 control
304,2,24.0,2,c07_p1,control,4.0,c07,d,game 2 control
305,2,8.0,2,c09_p1,control,4.0,c09,d,game 2 control
306,2,22.0,2,c10_p1,control,4.0,c10,d,game 2 control
307,2,21.0,2,c11_p1,control,4.0,c11,d,game 2 control
308,2,8.0,2,c12_p1,control,4.0,c12,s,game 2 control
309,2,18.0,2,c13_p1,control,4.0,c13,s,game 2 control
310,2,10.0,2,c14_p1,control,4.0,c14,s,game 2 control
311,2,22.0,2,c15_p1,control,4.0,c15,s,game 2 control
312,2,20.0,2,c16_p1,control,4.0,c16,s,game 2 control
313,2,16.0,2,c17_p1,control,4.0,c17,s,game 2 control
314,2,19.0,2,c18_p1,control,4.0,c18,s,game 2 control
315,2,15.0,2,s01_p1,control,3.0,s01,d,game 2 control
316,2,17.0,2,s03_p1,control,3.0,s03,d,game 2 control
317,2,30.0,2,s05_p1,control,3.0,s05,d,game 2 control
318,2,28.0,2,s06_p1,control,3.0,s06,d,game 2 control
319,2,18.0,2,s07_p1,control,3.0,s07,d,game 2 control
320,2,24.0,2,s08_p1,control,3.0,s08,d,game 2 control
321,2,15.0,2,s09_p1,control,3.0,s09,d,game 2 control
322,2,16.0,2,s11_p1,control,3.0,s11,s,game 2 control
323,2,28.0,2,s12_p1,control,3.0,s12,s,game 2 control
324,2,30.0,2,s14_p1,control,3.0,s14,s,game 2 control
325,2,28.0,2,s15_p1,control,3.0,s15,s,game 2 control
326,2,8.0,2,s16_p1,control,3.0,s16,s,game 2 control
327,2,25.0,2,s17_p1,control,3.0,s17,s,game 2 control
328,2,25.0,2,s19_p1,control,3.0,s19,s,game 2 control
329,2,11.0,2,s20_p1,control,3.0,s20,s,game 2 control
330,2,6.0,1,j01_p1,social,3.0,j01,d,game 1 social
331,2,9.0,1,j01_p2,social,3.0,j01,d,game 1 social
332,2,11.0,1,j02_p1,social,3.0,j02,d,game 1 social
333,2,9.0,1,j02_p2,social,3.0,j02,d,game 1 social
334,2,13.0,1,j03_p1,social,3.0,j03,d,game 1 social
335,2,14.0,1,j03_p2,social,3.0,j03,d,game 1 social
336,2,10.0,1,j04_p1,social,3.0,j04,d,game 1 social
337,2,12.0,1,j04_p2,social,3.0,j04,d,game 1 social
338,2,25.0,1,j05_p1,social,3.0,j05,d,game 1 social
339,2,20.0,1,j05_p2,social,3.0,j05,d,game 1 social
340,2,11.0,1,j06_p1,social,3.0,j06,d,game 1 social
341,2,11.0,1,j06_p2,social,3.0,j06,d,game 1 social
342,2,24.0,1,j07_p1,social,3.0,j07,d,game 1 social
343,2,22.0,1,j07_p2,social,3.0,j07,d,game 1 social
344,2,6.0,1,j08_p1,social,3.0,j08,d,game 1 social
345,2,6.0,1,j08_p2,social,3.0,j08,d,game 1 social
346,2,16.0,1,j10_p1,social,3.0,j10,s,game 1 social
347,2,16.0,1,j10_p2,social,3.0,j10,s,game 1 social
348,2,18.0,1,j11_p1,social,3.0,j11,s,game 1 social
349,2,28.0,1,j11_p2,social,3.0,j11,s,game 1 social
350,2,9.0,1,m01_p1,social,4.0,m01,d,game 1 social
351,2,13.0,1,m01_p2,social,4.0,m01,d,game 1 social
352,2,8.0,1,m03_p1,social,4.0,m03,d,game 1 social
353,2,11.0,1,m03_p2,social,4.0,m03,d,game 1 social
354,2,20.0,1,m05_p1,social,4.0,m05,d,game 1 social
355,2,19.0,1,m05_p2,social,4.0,m05,d,game 1 social
356,2,21.0,1,m08_p1,social,4.0,m08,s,game 1 social
357,2,18.0,1,m08_p2,social,4.0,m08,s,game 1 social
358,2,17.0,1,m10_p1,social,4.0,m10,s,game 1 social
359,2,7.0,1,m10_p2,social,4.0,m10,s,game 1 social
360,2,28.0,1,m11_p1,social,4.0,m11,s,game 1 social
361,2,28.0,1,m11_p2,social,4.0,m11,s,game 1 social
362,2,7.0,1,m13_p1,social,4.0,m13,s,game 1 social
363,2,9.0,1,m13_p2,social,4.0,m13,s,game 1 social
364,2,7.0,1,m14_p1,social,4.0,m14,s,game 1 social
365,2,6.0,1,m14_p2,social,4.0,m14,s,game 1 social
366,2,17.0,2,j01_p1,social,3.0,j01,d,game 2 social
367,2,12.0,2,j01_p2,social,3.0,j01,d,game 2 social
368,2,15.0,2,j02_p1,social,3.0,j02,d,game 2 social
369,2,20.0,2,j02_p2,social,3.0,j02,d,game 2 social
370,2,19.0,2,j03_p1,social,3.0,j03,d,game 2 social
371,2,30.0,2,j03_p2,social,3.0,j03,d,game 2 social
372,2,7.0,2,j04_p1,social,3.0,j04,d,game 2 social
373,2,3.0,2,j04_p2,social,3.0,j04,d,game 2 social
374,2,26.0,2,j05_p1,social,3.0,j05,d,game 2 social
375,2,16.0,2,j05_p2,social,3.0,j05,d,game 2 social
376,2,18.0,2,j06_p1,social,3.0,j06,d,game 2 social
377,2,14.0,2,j06_p2,social,3.0,j06,d,game 2 social
378,2,30.0,2,j07_p1,social,3.0,j07,d,game 2 social
379,2,13.0,2,j07_p2,social,3.0,j07,d,game 2 social
380,2,30.0,2,j08_p1,social,3.0,j08,d,game 2 social
381,2,26.0,2,j08_p2,social,3.0,j08,d,game 2 social
382,2,16.0,2,j10_p1,social,3.0,j10,s,game 2 social
383,2,30.0,2,j10_p2,social,3.0,j10,s,game 2 social
384,2,25.0,2,j11_p1,social,3.0,j11,s,game 2 social
385,2,30.0,2,j11_p2,social,3.0,j11,s,game 2 social
386,2,30.0,2,m01_p1,social,4.0,m01,d,game 2 social
387,2,10.0,2,m01_p2,social,4.0,m01,d,game 2 social
388,2,6.0,2,m03_p1,social,4.0,m03,d,game 2 social
389,2,7.0,2,m03_p2,social,4.0,m03,d,game 2 social
390,2,16.0,2,m05_p1,social,4.0,m05,d,game 2 social
391,2,30.0,2,m05_p2,social,4.0,m05,d,game 2 social
392,2,27.0,2,m08_p1,social,4.0,m08,s,game 2 social
393,2,27.0,2,m08_p2,social,4.0,m08,s,game 2 social
394,2,15.0,2,m10_p1,social,4.0,m10,s,game 2 social
395,2,10.0,2,m10_p2,social,4.0,m10,s,game 2 social
396,2,30.0,2,m11_p1,social,4.0,m11,s,game 2 social
397,2,30.0,2,m11_p2,social,4.0,m11,s,game 2 social
398,2,12.0,2,m13_p1,social,4.0,m13,s,game 2 social
399,2,16.0,2,m13_p2,social,4.0,m13,s,game 2 social
400,2,3.0,2,m14_p1,social,4.0,m14,s,game 2 social
401,2,9.0,2,m14_p2,social,4.0,m14,s,game 2 social
402,3,18.0,1,c01_p1,control,4.0,c01,s,game 1 control
403,3,10.0,1,c02_p1,control,4.0,c02,d,game 1 control
404,3,30.0,1,c03_p1,control,4.0,c03,d,game 1 control
405,3,10.0,1,c05_p1,control,4.0,c05,d,game 1 control
406,3,8.0,1,c06_p1,control,4.0,c06,d,game 1 control
407,3,28.0,1,c07_p1,control,4.0,c07,d,game 1 control
408,3,7.0,1,c09_p1,control,4.0,c09,d,game 1 control
409,3,30.0,1,c10_p1,control,4.0,c10,d,game 1 control
410,3,16.0,1,c11_p1,control,4.0,c11,d,game 1 control
411,3,8.0,1,c12_p1,control,4.0,c12,s,game 1 control
412,3,19.0,1,c13_p1,control,4.0,c13,s,game 1 control
413,3,21.0,1,c14_p1,control,4.0,c14,s,game 1 control
414,3,11.0,1,c15_p1,control,4.0,c15,s,game 1 control
415,3,21.0,1,c16_p1,control,4.0,c16,s,game 1 control
416,3,25.0,1,c17_p1,control,4.0,c17,s,game 1 control
417,3,17.0,1,c18_p1,control,4.0,c18,s,game 1 control
418,3,7.0,1,s01_p1,control,3.0,s01,d,game 1 control
419,3,10.0,1,s03_p1,control,3.0,s03,d,game 1 control
420,3,11.0,1,s05_p1,control,3.0,s05,d,game 1 control
421,3,10.0,1,s06_p1,control,3.0,s06,d,game 1 control
422,3,20.0,1,s07_p1,control,3.0,s07,d,game 1 control
423,3,25.0,1,s08_p1,control,3.0,s08,d,game 1 control
424,3,11.0,1,s09_p1,control,3.0,s09,d,game 1 control
425,3,13.0,1,s11_p1,control,3.0,s11,s,game 1 control
426,3,25.0,1,s12_p1,control,3.0,s12,s,game 1 control
427,3,30.0,1,s14_p1,control,3.0,s14,s,game 1 control
428,3,28.0,1,s15_p1,control,3.0,s15,s,game 1 control
429,3,9.0,1,s16_p1,control,3.0,s16,s,game 1 control
430,3,27.0,1,s17_p1,control,3.0,s17,s,game 1 control
431,3,21.0,1,s19_p1,control,3.0,s19,s,game 1 control
432,3,9.0,1,s20_p1,control,3.0,s20,s,game 1 control
433,3,23.0,2,c01_p1,control,4.0,c01,s,game 2 control
434,3,27.0,2,c02_p1,control,4.0,c02,d,game 2 control
435,3,27.0,2,c03_p1,control,4.0,c03,d,game 2 control
436,3,11.0,2,c05_p1,control,4.0,c05,d,game 2 control
437,3,7.0,2,c06_p1,control,4.0,c06,d,game 2 control
438,3,29.0,2,c07_p1,control,4.0,c07,d,game 2 control
439,3,5.0,2,c09_p1,control,4.0,c09,d,game 2 control
440,3,19.0,2,c10_p1,control,4.0,c10,d,game 2 control
441,3,23.0,2,c11_p1,control,4.0,c11,d,game 2 control
442,3,5.0,2,c12_p1,control,4.0,c12,s,game 2 control
443,3,11.0,2,c13_p1,control,4.0,c13,s,game 2 control
444,3,18.0,2,c14_p1,control,4.0,c14,s,game 2 control
445,3,24.0,2,c15_p1,control,4.0,c15,s,game 2 control
446,3,28.0,2,c16_p1,control,4.0,c16,s,game 2 control
447,3,10.0,2,c17_p1,control,4.0,c17,s,game 2 control
448,3,23.0,2,c18_p1,control,4.0,c18,s,game 2 control
449,3,12.0,2,s01_p1,control,3.0,s01,d,game 2 control
450,3,12.0,2,s03_p1,control,3.0,s03,d,game 2 control
451,3,30.0,2,s05_p1,control,3.0,s05,d,game 2 control
452,3,30.0,2,s06_p1,control,3.0,s06,d,game 2 control
453,3,21.0,2,s07_p1,control,3.0,s07,d,game 2 control
454,3,22.0,2,s08_p1,control,3.0,s08,d,game 2 control
455,3,16.0,2,s09_p1,control,3.0,s09,d,game 2 control
456,3,14.0,2,s11_p1,control,3.0,s11,s,game 2 control
457,3,28.0,2,s12_p1,control,3.0,s12,s,game 2 control
458,3,30.0,2,s14_p1,control,3.0,s14,s,game 2 control
459,3,25.0,2,s15_p1,control,3.0,s15,s,game 2 control
460,3,11.0,2,s16_p1,control,3.0,s16,s,game 2 control
461,3,21.0,2,s17_p1,control,3.0,s17,s,game 2 control
462,3,25.0,2,s19_p1,control,3.0,s19,s,game 2 control
463,3,16.0,2,s20_p1,control,3.0,s20,s,game 2 control
464,3,7.0,1,j01_p1,social,3.0,j01,d,game 1 social
465,3,9.0,1,j01_p2,social,3.0,j01,d,game 1 social
466,3,12.0,1,j02_p1,social,3.0,j02,d,game 1 social
467,3,12.0,1,j02_p2,social,3.0,j02,d,game 1 social
468,3,22.0,1,j03_p1,social,3.0,j03,d,game 1 social
469,3,22.0,1,j03_p2,social,3.0,j03,d,game 1 social
470,3,14.0,1,j04_p1,social,3.0,j04,d,game 1 social
471,3,13.0,1,j04_p2,social,3.0,j04,d,game 1 social
472,3,25.0,1,j05_p1,social,3.0,j05,d,game 1 social
473,3,18.0,1,j05_p2,social,3.0,j05,d,game 1 social
474,3,10.0,1,j06_p1,social,3.0,j06,d,game 1 social
475,3,15.0,1,j06_p2,social,3.0,j06,d,game 1 social
476,3,17.0,1,j07_p1,social,3.0,j07,d,game 1 social
477,3,23.0,1,j07_p2,social,3.0,j07,d,game 1 social
478,3,8.0,1,j08_p1,social,3.0,j08,d,game 1 social
479,3,15.0,1,j08_p2,social,3.0,j08,d,game 1 social
480,3,15.0,1,j10_p1,social,3.0,j10,s,game 1 social
481,3,27.0,1,j10_p2,social,3.0,j10,s,game 1 social
482,3,18.0,1,j11_p1,social,3.0,j11,s,game 1 social
483,3,30.0,1,j11_p2,social,3.0,j11,s,game 1 social
484,3,7.0,1,m01_p1,social,4.0,m01,d,game 1 social
485,3,10.0,1,m01_p2,social,4.0,m01,d,game 1 social
486,3,10.0,1,m03_p1,social,4.0,m03,d,game 1 social
487,3,13.0,1,m03_p2,social,4.0,m03,d,game 1 social
488,3,20.0,1,m05_p1,social,4.0,m05,d,game 1 social
489,3,14.0,1,m05_p2,social,4.0,m05,d,game 1 social
490,3,20.0,1,m08_p1,social,4.0,m08,s,game 1 social
491,3,27.0,1,m08_p2,social,4.0,m08,s,game 1 social
492,3,16.0,1,m10_p1,social,4.0,m10,s,game 1 social
493,3,13.0,1,m10_p2,social,4.0,m10,s,game 1 social
494,3,30.0,1,m11_p1,social,4.0,m11,s,game 1 social
495,3,30.0,1,m11_p2,social,4.0,m11,s,game 1 social
496,3,15.0,1,m13_p1,social,4.0,m13,s,game 1 social
497,3,14.0,1,m13_p2,social,4.0,m13,s,game 1 social
498,3,19.0,1,m14_p1,social,4.0,m14,s,game 1 social
499,3,9.0,1,m14_p2,social,4.0,m14,s,game 1 social
500,3,17.0,2,j01_p1,social,3.0,j01,d,game 2 social
501,3,8.0,2,j01_p2,social,3.0,j01,d,game 2 social
502,3,12.0,2,j02_p1,social,3.0,j02,d,game 2 social
503,3,30.0,2,j02_p2,social,3.0,j02,d,game 2 social
504,3,29.0,2,j03_p1,social,3.0,j03,d,game 2 social
505,3,28.0,2,j03_p2,social,3.0,j03,d,game 2 social
506,3,8.0,2,j04_p1,social,3.0,j04,d,game 2 social
507,3,8.0,2,j04_p2,social,3.0,j04,d,game 2 social
508,3,21.0,2,j05_p1,social,3.0,j05,d,game 2 social
509,3,19.0,2,j05_p2,social,3.0,j05,d,game 2 social
510,3,24.0,2,j06_p1,social,3.0,j06,d,game 2 social
511,3,14.0,2,j06_p2,social,3.0,j06,d,game 2 social
512,3,30.0,2,j07_p1,social,3.0,j07,d,game 2 social
513,3,21.0,2,j07_p2,social,3.0,j07,d,game 2 social
514,3,30.0,2,j08_p1,social,3.0,j08,d,game 2 social
515,3,30.0,2,j08_p2,social,3.0,j08,d,game 2 social
516,3,13.0,2,j10_p1,social,3.0,j10,s,game 2 social
517,3,26.0,2,j10_p2,social,3.0,j10,s,game 2 social
518,3,23.0,2,j11_p1,social,3.0,j11,s,game 2 social
519,3,30.0,2,j11_p2,social,3.0,j11,s,game 2 social
520,3,24.0,2,m01_p1,social,4.0,m01,d,game 2 social
521,3,18.0,2,m01_p2,social,4.0,m01,d,game 2 social
522,3,7.0,2,m03_p1,social,4.0,m03,d,game 2 social
523,3,11.0,2,m03_p2,social,4.0,m03,d,game 2 social
524,3,7.0,2,m05_p1,social,4.0,m05,d,game 2 social
525,3,24.0,2,m05_p2,social,4.0,m05,d,game 2 social
526,3,28.0,2,m08_p1,social,4.0,m08,s,game 2 social
527,3,30.0,2,m08_p2,social,4.0,m08,s,game 2 social
528,3,17.0,2,m10_p1,social,4.0,m10,s,game 2 social
529,3,25.0,2,m10_p2,social,4.0,m10,s,game 2 social
530,3,30.0,2,m11_p1,social,4.0,m11,s,game 2 social
531,3,30.0,2,m11_p2,social,4.0,m11,s,game 2 social
532,3,15.0,2,m13_p1,social,4.0,m13,s,game 2 social
533,3,21.0,2,m13_p2,social,4.0,m13,s,game 2 social
534,3,9.0,2,m14_p1,social,4.0,m14,s,game 2 social
535,3,10.0,2,m14_p2,social,4.0,m14,s,game 2 social
