,variable,value,trial
0,c01_p1_g1,0.0,0
1,c01_p1_g1,0.0,1
2,c01_p1_g1,0.0,2
3,c01_p1_g1,1.0,3
4,c01_p1_g1,1.0,4
5,c01_p1_g1,1.0,5
6,c01_p1_g1,1.0,6
7,c01_p1_g1,1.0,7
8,c01_p1_g1,2.0,8
9,c01_p1_g1,2.0,9
10,c01_p1_g1,2.0,10
11,c01_p1_g1,2.0,11
12,c01_p1_g1,3.0,12
13,c01_p1_g1,4.0,13
14,c01_p1_g1,4.0,14
15,c01_p1_g1,4.0,15
16,c01_p1_g1,4.0,16
17,c01_p1_g1,4.0,17
18,c01_p1_g1,4.0,18
19,c01_p1_g1,5.0,19
20,c01_p1_g1,5.0,20
21,c01_p1_g1,5.0,21
22,c01_p1_g1,5.0,22
23,c01_p1_g1,5.0,23
24,c01_p1_g1,5.0,24
25,c01_p1_g1,6.0,25
26,c01_p1_g1,6.0,26
27,c01_p1_g1,6.0,27
28,c01_p1_g1,7.0,28
29,c01_p1_g1,7.0,29
30,c01_p1_g1,7.0,30
31,c01_p1_g1,7.0,31
32,c01_p1_g1,8.0,32
33,c01_p1_g1,8.0,33
34,c01_p1_g1,8.0,34
35,c01_p1_g1,8.0,35
36,c01_p1_g1,8.0,36
37,c01_p1_g1,8.0,37
38,c01_p1_g1,8.0,38
39,c01_p1_g1,8.0,39
40,c01_p1_g1,9.0,40
41,c01_p1_g1,9.0,41
42,c01_p1_g1,9.0,42
43,c01_p1_g1,9.0,43
44,c01_p1_g1,9.0,44
45,c01_p1_g1,9.0,45
46,c01_p1_g1,10.0,46
47,c01_p1_g1,10.0,47
48,c01_p1_g1,11.0,48
49,c01_p1_g1,11.0,49
50,c01_p1_g1,11.0,50
51,c01_p1_g1,11.0,51
52,c01_p1_g1,12.0,52
53,c01_p1_g1,12.0,53
54,c01_p1_g1,12.0,54
55,c01_p1_g1,13.0,55
56,c01_p1_g1,13.0,56
57,c01_p1_g1,13.0,57
58,c01_p1_g1,13.0,58
59,c01_p1_g1,13.0,59
60,c01_p1_g1,14.0,60
61,c01_p1_g1,15.0,61
62,c01_p1_g1,16.0,62
63,c01_p1_g1,16.0,63
64,c01_p1_g1,16.0,64
65,c01_p1_g1,16.0,65
66,c01_p1_g1,16.0,66
67,c01_p1_g1,16.0,67
68,c01_p1_g1,17.0,68
69,c01_p1_g1,18.0,69
70,c01_p1_g1,18.0,70
71,c01_p1_g1,18.0,71
72,c01_p1_g1,19.0,72
73,c01_p1_g1,19.0,73
74,c01_p1_g1,19.0,74
75,c01_p1_g1,20.0,75
76,c01_p1_g1,20.0,76
77,c01_p1_g1,20.0,77
78,c01_p1_g1,21.0,78
79,c01_p1_g1,21.0,79
80,c01_p1_g1,21.0,80
81,c01_p1_g1,21.0,81
82,c01_p1_g1,22.0,82
83,c01_p1_g1,22.0,83
84,c01_p1_g1,22.0,84
85,c01_p1_g1,22.0,85
86,c01_p1_g1,22.0,86
87,c01_p1_g1,22.0,87
88,c01_p1_g1,22.0,88
89,c01_p1_g1,22.0,89
90,c01_p1_g1,22.0,90
91,c01_p1_g1,22.0,91
92,c01_p1_g1,22.0,92
93,c01_p1_g1,23.0,93
94,c01_p1_g1,23.0,94
95,c01_p1_g1,23.0,95
96,c01_p1_g1,23.0,96
97,c01_p1_g1,23.0,97
98,c01_p1_g1,23.0,98
99,c01_p1_g1,23.0,99
100,c02_p1_g1,0.0,0
101,c02_p1_g1,1.0,1
102,c02_p1_g1,2.0,2
103,c02_p1_g1,2.0,3
104,c02_p1_g1,2.0,4
105,c02_p1_g1,2.0,5
106,c02_p1_g1,3.0,6
107,c02_p1_g1,3.0,7
108,c02_p1_g1,3.0,8
109,c02_p1_g1,4.0,9
110,c02_p1_g1,4.0,10
111,c02_p1_g1,4.0,11
112,c02_p1_g1,4.0,12
113,c02_p1_g1,4.0,13
114,c02_p1_g1,4.0,14
115,c02_p1_g1,4.0,15
116,c02_p1_g1,4.0,16
117,c02_p1_g1,4.0,17
118,c02_p1_g1,4.0,18
119,c02_p1_g1,4.0,19
120,c02_p1_g1,4.0,20
121,c02_p1_g1,4.0,21
122,c02_p1_g1,4.0,22
123,c02_p1_g1,4.0,23
124,c02_p1_g1,4.0,24
125,c02_p1_g1,4.0,25
126,c02_p1_g1,4.0,26
127,c02_p1_g1,4.0,27
128,c02_p1_g1,5.0,28
129,c02_p1_g1,6.0,29
130,c02_p1_g1,7.0,30
131,c02_p1_g1,8.0,31
132,c02_p1_g1,9.0,32
133,c02_p1_g1,9.0,33
134,c02_p1_g1,9.0,34
135,c02_p1_g1,9.0,35
136,c02_p1_g1,9.0,36
137,c02_p1_g1,9.0,37
138,c02_p1_g1,9.0,38
139,c02_p1_g1,9.0,39
140,c02_p1_g1,9.0,40
141,c02_p1_g1,9.0,41
142,c02_p1_g1,9.0,42
143,c02_p1_g1,10.0,43
144,c02_p1_g1,10.0,44
145,c02_p1_g1,10.0,45
146,c02_p1_g1,10.0,46
147,c02_p1_g1,10.0,47
148,c02_p1_g1,10.0,48
149,c02_p1_g1,10.0,49
150,c02_p1_g1,10.0,50
151,c02_p1_g1,10.0,51
152,c02_p1_g1,10.0,52
153,c02_p1_g1,10.0,53
154,c02_p1_g1,10.0,54
155,c02_p1_g1,10.0,55
156,c02_p1_g1,10.0,56
157,c02_p1_g1,10.0,57
158,c02_p1_g1,10.0,58
159,c02_p1_g1,10.0,59
160,c02_p1_g1,10.0,60
161,c02_p1_g1,10.0,61
162,c02_p1_g1,10.0,62
163,c02_p1_g1,10.0,63
164,c02_p1_g1,10.0,64
165,c02_p1_g1,10.0,65
166,c02_p1_g1,10.0,66
167,c02_p1_g1,10.0,67
168,c02_p1_g1,10.0,68
169,c02_p1_g1,10.0,69
170,c02_p1_g1,10.0,70
171,c02_p1_g1,10.0,71
172,c02_p1_g1,10.0,72
173,c02_p1_g1,10.0,73
174,c02_p1_g1,10.0,74
175,c02_p1_g1,10.0,75
176,c02_p1_g1,10.0,76
177,c02_p1_g1,10.0,77
178,c02_p1_g1,10.0,78
179,c02_p1_g1,10.0,79
180,c02_p1_g1,10.0,80
181,c02_p1_g1,11.0,81
182,c02_p1_g1,11.0,82
183,c02_p1_g1,12.0,83
184,c02_p1_g1,12.0,84
185,c02_p1_g1,12.0,85
186,c02_p1_g1,12.0,86
187,c02_p1_g1,12.0,87
188,c02_p1_g1,12.0,88
189,c02_p1_g1,13.0,89
190,c02_p1_g1,13.0,90
191,c02_p1_g1,13.0,91
192,c02_p1_g1,13.0,92
193,c02_p1_g1,13.0,93
194,c02_p1_g1,13.0,94
195,c02_p1_g1,13.0,95
196,c02_p1_g1,13.0,96
197,c02_p1_g1,13.0,97
198,c02_p1_g1,13.0,98
199,c02_p1_g1,13.0,99
200,c03_p1_g1,0.0,0
201,c03_p1_g1,0.0,1
202,c03_p1_g1,0.0,2
203,c03_p1_g1,1.0,3
204,c03_p1_g1,2.0,4
205,c03_p1_g1,2.0,5
206,c03_p1_g1,2.0,6
207,c03_p1_g1,3.0,7
208,c03_p1_g1,3.0,8
209,c03_p1_g1,4.0,9
210,c03_p1_g1,5.0,10
211,c03_p1_g1,5.0,11
212,c03_p1_g1,6.0,12
213,c03_p1_g1,7.0,13
214,c03_p1_g1,7.0,14
215,c03_p1_g1,7.0,15
216,c03_p1_g1,8.0,16
217,c03_p1_g1,8.0,17
218,c03_p1_g1,8.0,18
219,c03_p1_g1,9.0,19
220,c03_p1_g1,9.0,20
221,c03_p1_g1,9.0,21
222,c03_p1_g1,9.0,22
223,c03_p1_g1,9.0,23
224,c03_p1_g1,9.0,24
225,c03_p1_g1,9.0,25
226,c03_p1_g1,9.0,26
227,c03_p1_g1,9.0,27
228,c03_p1_g1,9.0,28
229,c03_p1_g1,9.0,29
230,c03_p1_g1,9.0,30
231,c03_p1_g1,9.0,31
232,c03_p1_g1,9.0,32
233,c03_p1_g1,9.0,33
234,c03_p1_g1,9.0,34
235,c03_p1_g1,9.0,35
236,c03_p1_g1,9.0,36
237,c03_p1_g1,9.0,37
238,c03_p1_g1,9.0,38
239,c03_p1_g1,9.0,39
240,c03_p1_g1,9.0,40
241,c03_p1_g1,9.0,41
242,c03_p1_g1,9.0,42
243,c03_p1_g1,9.0,43
244,c03_p1_g1,9.0,44
245,c03_p1_g1,9.0,45
246,c03_p1_g1,9.0,46
247,c03_p1_g1,9.0,47
248,c03_p1_g1,10.0,48
249,c03_p1_g1,10.0,49
250,c03_p1_g1,10.0,50
251,c03_p1_g1,10.0,51
252,c03_p1_g1,10.0,52
253,c03_p1_g1,10.0,53
254,c03_p1_g1,10.0,54
255,c03_p1_g1,11.0,55
256,c03_p1_g1,11.0,56
257,c03_p1_g1,11.0,57
258,c03_p1_g1,11.0,58
259,c03_p1_g1,11.0,59
260,c03_p1_g1,12.0,60
261,c03_p1_g1,12.0,61
262,c03_p1_g1,12.0,62
263,c03_p1_g1,12.0,63
264,c03_p1_g1,12.0,64
265,c03_p1_g1,12.0,65
266,c03_p1_g1,12.0,66
267,c03_p1_g1,12.0,67
268,c03_p1_g1,12.0,68
269,c03_p1_g1,12.0,69
270,c03_p1_g1,12.0,70
271,c03_p1_g1,12.0,71
272,c03_p1_g1,12.0,72
273,c03_p1_g1,12.0,73
274,c03_p1_g1,12.0,74
275,c03_p1_g1,12.0,75
276,c03_p1_g1,12.0,76
277,c03_p1_g1,12.0,77
278,c03_p1_g1,12.0,78
279,c03_p1_g1,12.0,79
280,c03_p1_g1,12.0,80
281,c03_p1_g1,12.0,81
282,c03_p1_g1,12.0,82
283,c03_p1_g1,12.0,83
284,c03_p1_g1,12.0,84
285,c03_p1_g1,12.0,85
286,c03_p1_g1,12.0,86
287,c03_p1_g1,12.0,87
288,c03_p1_g1,12.0,88
289,c03_p1_g1,12.0,89
290,c03_p1_g1,12.0,90
291,c03_p1_g1,12.0,91
292,c03_p1_g1,12.0,92
293,c03_p1_g1,12.0,93
294,c03_p1_g1,12.0,94
295,c03_p1_g1,12.0,95
296,c03_p1_g1,12.0,96
297,c03_p1_g1,12.0,97
298,c03_p1_g1,12.0,98
299,c03_p1_g1,12.0,99
300,c05_p1_g1,0.0,0
301,c05_p1_g1,0.0,1
302,c05_p1_g1,1.0,2
303,c05_p1_g1,1.0,3
304,c05_p1_g1,1.0,4
305,c05_p1_g1,2.0,5
306,c05_p1_g1,2.0,6
307,c05_p1_g1,2.0,7
308,c05_p1_g1,3.0,8
309,c05_p1_g1,3.0,9
310,c05_p1_g1,3.0,10
311,c05_p1_g1,4.0,11
312,c05_p1_g1,4.0,12
313,c05_p1_g1,4.0,13
314,c05_p1_g1,5.0,14
315,c05_p1_g1,5.0,15
316,c05_p1_g1,6.0,16
317,c05_p1_g1,6.0,17
318,c05_p1_g1,6.0,18
319,c05_p1_g1,7.0,19
320,c05_p1_g1,7.0,20
321,c05_p1_g1,7.0,21
322,c05_p1_g1,8.0,22
323,c05_p1_g1,8.0,23
324,c05_p1_g1,8.0,24
325,c05_p1_g1,9.0,25
326,c05_p1_g1,9.0,26
327,c05_p1_g1,9.0,27
328,c05_p1_g1,9.0,28
329,c05_p1_g1,9.0,29
330,c05_p1_g1,10.0,30
331,c05_p1_g1,10.0,31
332,c05_p1_g1,10.0,32
333,c05_p1_g1,10.0,33
334,c05_p1_g1,11.0,34
335,c05_p1_g1,11.0,35
336,c05_p1_g1,12.0,36
337,c05_p1_g1,12.0,37
338,c05_p1_g1,12.0,38
339,c05_p1_g1,13.0,39
340,c05_p1_g1,13.0,40
341,c05_p1_g1,13.0,41
342,c05_p1_g1,14.0,42
343,c05_p1_g1,14.0,43
344,c05_p1_g1,14.0,44
345,c05_p1_g1,14.0,45
346,c05_p1_g1,15.0,46
347,c05_p1_g1,15.0,47
348,c05_p1_g1,15.0,48
349,c05_p1_g1,16.0,49
350,c05_p1_g1,16.0,50
351,c05_p1_g1,16.0,51
352,c05_p1_g1,17.0,52
353,c05_p1_g1,17.0,53
354,c05_p1_g1,17.0,54
355,c05_p1_g1,18.0,55
356,c05_p1_g1,18.0,56
357,c05_p1_g1,19.0,57
358,c05_p1_g1,19.0,58
359,c05_p1_g1,20.0,59
360,c05_p1_g1,20.0,60
361,c05_p1_g1,20.0,61
362,c05_p1_g1,21.0,62
363,c05_p1_g1,21.0,63
364,c05_p1_g1,21.0,64
365,c05_p1_g1,21.0,65
366,c05_p1_g1,21.0,66
367,c05_p1_g1,22.0,67
368,c05_p1_g1,22.0,68
369,c05_p1_g1,23.0,69
370,c05_p1_g1,23.0,70
371,c05_p1_g1,24.0,71
372,c05_p1_g1,24.0,72
373,c05_p1_g1,24.0,73
374,c05_p1_g1,25.0,74
375,c05_p1_g1,25.0,75
376,c05_p1_g1,25.0,76
377,c05_p1_g1,25.0,77
378,c05_p1_g1,26.0,78
379,c05_p1_g1,26.0,79
380,c05_p1_g1,26.0,80
381,c05_p1_g1,27.0,81
382,c05_p1_g1,27.0,82
383,c05_p1_g1,27.0,83
384,c05_p1_g1,28.0,84
385,c05_p1_g1,28.0,85
386,c05_p1_g1,28.0,86
387,c05_p1_g1,29.0,87
388,c05_p1_g1,29.0,88
389,c05_p1_g1,29.0,89
390,c05_p1_g1,30.0,90
391,c05_p1_g1,30.0,91
392,c05_p1_g1,31.0,92
393,c05_p1_g1,31.0,93
394,c05_p1_g1,32.0,94
395,c05_p1_g1,32.0,95
396,c05_p1_g1,32.0,96
397,c05_p1_g1,33.0,97
398,c05_p1_g1,33.0,98
399,c05_p1_g1,34.0,99
400,c06_p1_g1,0.0,0
401,c06_p1_g1,0.0,1
402,c06_p1_g1,1.0,2
403,c06_p1_g1,1.0,3
404,c06_p1_g1,1.0,4
405,c06_p1_g1,1.0,5
406,c06_p1_g1,1.0,6
407,c06_p1_g1,2.0,7
408,c06_p1_g1,3.0,8
409,c06_p1_g1,3.0,9
410,c06_p1_g1,4.0,10
411,c06_p1_g1,4.0,11
412,c06_p1_g1,5.0,12
413,c06_p1_g1,5.0,13
414,c06_p1_g1,5.0,14
415,c06_p1_g1,5.0,15
416,c06_p1_g1,5.0,16
417,c06_p1_g1,5.0,17
418,c06_p1_g1,6.0,18
419,c06_p1_g1,6.0,19
420,c06_p1_g1,6.0,20
421,c06_p1_g1,6.0,21
422,c06_p1_g1,6.0,22
423,c06_p1_g1,6.0,23
424,c06_p1_g1,7.0,24
425,c06_p1_g1,7.0,25
426,c06_p1_g1,7.0,26
427,c06_p1_g1,7.0,27
428,c06_p1_g1,8.0,28
429,c06_p1_g1,8.0,29
430,c06_p1_g1,8.0,30
431,c06_p1_g1,9.0,31
432,c06_p1_g1,9.0,32
433,c06_p1_g1,9.0,33
434,c06_p1_g1,9.0,34
435,c06_p1_g1,10.0,35
436,c06_p1_g1,10.0,36
437,c06_p1_g1,11.0,37
438,c06_p1_g1,11.0,38
439,c06_p1_g1,12.0,39
440,c06_p1_g1,12.0,40
441,c06_p1_g1,12.0,41
442,c06_p1_g1,12.0,42
443,c06_p1_g1,12.0,43
444,c06_p1_g1,12.0,44
445,c06_p1_g1,12.0,45
446,c06_p1_g1,12.0,46
447,c06_p1_g1,13.0,47
448,c06_p1_g1,13.0,48
449,c06_p1_g1,14.0,49
450,c06_p1_g1,14.0,50
451,c06_p1_g1,14.0,51
452,c06_p1_g1,14.0,52
453,c06_p1_g1,15.0,53
454,c06_p1_g1,15.0,54
455,c06_p1_g1,15.0,55
456,c06_p1_g1,15.0,56
457,c06_p1_g1,15.0,57
458,c06_p1_g1,15.0,58
459,c06_p1_g1,15.0,59
460,c06_p1_g1,15.0,60
461,c06_p1_g1,16.0,61
462,c06_p1_g1,16.0,62
463,c06_p1_g1,16.0,63
464,c06_p1_g1,16.0,64
465,c06_p1_g1,16.0,65
466,c06_p1_g1,17.0,66
467,c06_p1_g1,17.0,67
468,c06_p1_g1,17.0,68
469,c06_p1_g1,17.0,69
470,c06_p1_g1,18.0,70
471,c06_p1_g1,18.0,71
472,c06_p1_g1,19.0,72
473,c06_p1_g1,19.0,73
474,c06_p1_g1,19.0,74
475,c06_p1_g1,20.0,75
476,c06_p1_g1,20.0,76
477,c06_p1_g1,20.0,77
478,c06_p1_g1,21.0,78
479,c06_p1_g1,22.0,79
480,c06_p1_g1,22.0,80
481,c06_p1_g1,22.0,81
482,c06_p1_g1,22.0,82
483,c06_p1_g1,22.0,83
484,c06_p1_g1,23.0,84
485,c06_p1_g1,23.0,85
486,c06_p1_g1,24.0,86
487,c06_p1_g1,24.0,87
488,c06_p1_g1,25.0,88
489,c06_p1_g1,25.0,89
490,c06_p1_g1,26.0,90
491,c06_p1_g1,26.0,91
492,c06_p1_g1,26.0,92
493,c06_p1_g1,27.0,93
494,c06_p1_g1,27.0,94
495,c06_p1_g1,28.0,95
496,c06_p1_g1,28.0,96
497,c06_p1_g1,28.0,97
498,c06_p1_g1,29.0,98
499,c06_p1_g1,29.0,99
500,c07_p1_g1,0.0,0
501,c07_p1_g1,0.0,1
502,c07_p1_g1,0.0,2
503,c07_p1_g1,0.0,3
504,c07_p1_g1,0.0,4
505,c07_p1_g1,1.0,5
506,c07_p1_g1,2.0,6
507,c07_p1_g1,2.0,7
508,c07_p1_g1,2.0,8
509,c07_p1_g1,2.0,9
510,c07_p1_g1,2.0,10
511,c07_p1_g1,2.0,11
512,c07_p1_g1,3.0,12
513,c07_p1_g1,4.0,13
514,c07_p1_g1,4.0,14
515,c07_p1_g1,4.0,15
516,c07_p1_g1,4.0,16
517,c07_p1_g1,4.0,17
518,c07_p1_g1,5.0,18
519,c07_p1_g1,6.0,19
520,c07_p1_g1,6.0,20
521,c07_p1_g1,6.0,21
522,c07_p1_g1,6.0,22
523,c07_p1_g1,7.0,23
524,c07_p1_g1,7.0,24
525,c07_p1_g1,8.0,25
526,c07_p1_g1,8.0,26
527,c07_p1_g1,8.0,27
528,c07_p1_g1,8.0,28
529,c07_p1_g1,8.0,29
530,c07_p1_g1,8.0,30
531,c07_p1_g1,8.0,31
532,c07_p1_g1,8.0,32
533,c07_p1_g1,8.0,33
534,c07_p1_g1,8.0,34
535,c07_p1_g1,8.0,35
536,c07_p1_g1,9.0,36
537,c07_p1_g1,9.0,37
538,c07_p1_g1,9.0,38
539,c07_p1_g1,10.0,39
540,c07_p1_g1,10.0,40
541,c07_p1_g1,10.0,41
542,c07_p1_g1,11.0,42
543,c07_p1_g1,11.0,43
544,c07_p1_g1,11.0,44
545,c07_p1_g1,11.0,45
546,c07_p1_g1,12.0,46
547,c07_p1_g1,12.0,47
548,c07_p1_g1,12.0,48
549,c07_p1_g1,12.0,49
550,c07_p1_g1,12.0,50
551,c07_p1_g1,12.0,51
552,c07_p1_g1,12.0,52
553,c07_p1_g1,12.0,53
554,c07_p1_g1,12.0,54
555,c07_p1_g1,12.0,55
556,c07_p1_g1,12.0,56
557,c07_p1_g1,12.0,57
558,c07_p1_g1,12.0,58
559,c07_p1_g1,12.0,59
560,c07_p1_g1,12.0,60
561,c07_p1_g1,12.0,61
562,c07_p1_g1,12.0,62
563,c07_p1_g1,12.0,63
564,c07_p1_g1,12.0,64
565,c07_p1_g1,12.0,65
566,c07_p1_g1,12.0,66
567,c07_p1_g1,12.0,67
568,c07_p1_g1,12.0,68
569,c07_p1_g1,12.0,69
570,c07_p1_g1,12.0,70
571,c07_p1_g1,12.0,71
572,c07_p1_g1,12.0,72
573,c07_p1_g1,12.0,73
574,c07_p1_g1,12.0,74
575,c07_p1_g1,12.0,75
576,c07_p1_g1,12.0,76
577,c07_p1_g1,12.0,77
578,c07_p1_g1,12.0,78
579,c07_p1_g1,12.0,79
580,c07_p1_g1,12.0,80
581,c07_p1_g1,12.0,81
582,c07_p1_g1,12.0,82
583,c07_p1_g1,12.0,83
584,c07_p1_g1,12.0,84
585,c07_p1_g1,12.0,85
586,c07_p1_g1,12.0,86
587,c07_p1_g1,12.0,87
588,c07_p1_g1,12.0,88
589,c07_p1_g1,12.0,89
590,c07_p1_g1,12.0,90
591,c07_p1_g1,12.0,91
592,c07_p1_g1,12.0,92
593,c07_p1_g1,12.0,93
594,c07_p1_g1,12.0,94
595,c07_p1_g1,12.0,95
596,c07_p1_g1,12.0,96
597,c07_p1_g1,12.0,97
600,c09_p1_g1,0.0,0
601,c09_p1_g1,0.0,1
602,c09_p1_g1,0.0,2
603,c09_p1_g1,0.0,3
604,c09_p1_g1,0.0,4
605,c09_p1_g1,1.0,5
606,c09_p1_g1,1.0,6
607,c09_p1_g1,1.0,7
608,c09_p1_g1,1.0,8
609,c09_p1_g1,2.0,9
610,c09_p1_g1,2.0,10
611,c09_p1_g1,2.0,11
612,c09_p1_g1,3.0,12
613,c09_p1_g1,3.0,13
614,c09_p1_g1,3.0,14
615,c09_p1_g1,3.0,15
616,c09_p1_g1,4.0,16
617,c09_p1_g1,4.0,17
618,c09_p1_g1,4.0,18
619,c09_p1_g1,4.0,19
620,c09_p1_g1,5.0,20
621,c09_p1_g1,5.0,21
622,c09_p1_g1,5.0,22
623,c09_p1_g1,5.0,23
624,c09_p1_g1,6.0,24
625,c09_p1_g1,6.0,25
626,c09_p1_g1,6.0,26
627,c09_p1_g1,6.0,27
628,c09_p1_g1,7.0,28
629,c09_p1_g1,8.0,29
630,c09_p1_g1,8.0,30
631,c09_p1_g1,8.0,31
632,c09_p1_g1,8.0,32
633,c09_p1_g1,9.0,33
634,c09_p1_g1,9.0,34
635,c09_p1_g1,9.0,35
636,c09_p1_g1,9.0,36
637,c09_p1_g1,10.0,37
638,c09_p1_g1,10.0,38
639,c09_p1_g1,10.0,39
640,c09_p1_g1,10.0,40
